scenario,model,metric,value
moderate,ARX_Lasso,MAE,0.42808400707908584
moderate,ARX_OLS,MAE,0.42777154448380644
moderate,ARX_Ridge,MAE,0.4277708619235373
strong,ARX_Lasso,MAE,0.5699621591281374
strong,ARX_OLS,MAE,0.5696518098187389
strong,ARX_Ridge,MAE,0.5696511544647171
weak,ARX_Lasso,MAE,0.3745976787591076
weak,ARX_OLS,MAE,0.37430862404598975
weak,ARX_Ridge,MAE,0.37430781658911216
moderate,ARX_Lasso,R2,0.06960998576714306
moderate,ARX_OLS,R2,0.06946032388651963
moderate,ARX_Ridge,R2,0.06946506605663938
strong,ARX_Lasso,R2,0.03723252803490856
strong,ARX_OLS,R2,0.036943058712739785
strong,ARX_Ridge,R2,0.03694591238515327
weak,ARX_Lasso,R2,0.09464605947320642
weak,ARX_OLS,R2,0.0931036433134384
weak,ARX_Ridge,R2,0.09311646760168552
moderate,ARX_Lasso,RMSE,0.7342305609206035
moderate,ARX_OLS,RMSE,0.7337116610215723
moderate,ARX_Ridge,RMSE,0.7337114124604888
strong,ARX_Lasso,RMSE,1.1856789607726292
strong,ARX_OLS,RMSE,1.1853017684945037
strong,ARX_Ridge,RMSE,1.1853013625274615
weak,ARX_Lasso,RMSE,0.5688957225107608
weak,ARX_OLS,RMSE,0.5682238593166127
weak,ARX_Ridge,RMSE,0.5682235524599476
